"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3,649604950E-1;2,234999895E0;2,765000105E0;3,661999941E0;5,103988017E0
3,674496490E-1;2,177999973E0;2,569000006E0;3,703000069E0;5,005562348E0
3,699388800E-1;2,201999903E0;2,253000021E0;3,948999882E0;5,051674250E0
3,724281880E-1;2,144000053E0;2,107000113E0;4,203000069E0;5,167339284E0
3,749176490E-1;1,968999982E0;1,889000058E0;4,526000023E0;5,284880165E0
3,774066340E-1;1,723000050E0;1,743000031E0;4,784999847E0;5,376151209E0
3,798958650E-1;1,447000027E0;1,703999996E0;4,901999950E0;5,387673763E0
3,823854040E-1;1,406000018E0;1,435999990E0;4,782999992E0;5,188065241E0
3,848746340E-1;1,335000038E0;1,225000024E0;4,907000065E0;5,230822096E0
3,873638650E-1;1,355999947E0;1,190000057E0;4,965000153E0;5,282618906E0
3,898530960E-1;1,305999994E0;1,187000036E0;4,907000065E0;5,214715209E0
3,923425570E-1;1,366000056E0;1,036000013E0;4,784999847E0;5,082860978E0
3,948317880E-1;1,457000017E0;1,046000004E0;4,703999996E0;5,034340177E0
3,973207110E-1;1,411000013E0;1,054999948E0;4,689000130E0;5,009058608E0
3,998100190E-1;1,485000014E0;1,026999950E0;4,614999771E0;4,955620731E0
4,022991730E-1;1,406000018E0;1,036000013E0;4,554999828E0;4,878335322E0
4,047880960E-1;1,488000035E0;9,959999919E-1;4,519000053E0;4,860814908E0
4,072770960E-1;1,409000039E0;1,054999948E0;4,506999969E0;4,838528157E0
4,097663270E-1;1,495000005E0;1,034000039E0;4,610000134E0;4,955429580E0
4,122555290E-1;1,511999965E0;1,082000017E0;4,644000053E0;5,002359886E0
4,147446830E-1;1,516999960E0;1,065000057E0;4,730000019E0;5,080198242E0
4,172339910E-1;1,529000044E0;1,046000004E0;4,814000130E0;5,158154165E0
4,197232220E-1;1,483000040E0;9,840000272E-1;4,931000233E0;5,242357148E0
4,222124530E-1;1,585999966E0;9,120000005E-1;5,040999889E0;5,362725033E0
4,247016640E-1;1,608000040E0;8,970000148E-1;4,972000122E0;5,301986266E0
4,271908950E-1;1,664999962E0;8,130000234E-1;4,967000008E0;5,301347280E0
4,296803570E-1;1,797000051E0;8,470000029E-1;4,938000202E0;5,322636958E0
4,321693570E-1;1,942999959E0;5,609999895E-1;4,889999866E0;5,291698076E0
4,346585110E-1;1,955000043E0;4,460000098E-1;4,931000233E0;5,323129199E0
4,371475010E-1;1,991000056E0;2,590000033E-1;4,749000072E0;5,155983312E0
4,396367310E-1;1,968999982E0;1,180000007E-1;4,814000130E0;5,202449632E0
4,421259620E-1;1,957000017E0;-4,100000113E-2;4,837999821E0;5,218981925E0
4,446151160E-1;1,781999946E0;-2,610000074E-1;4,968999863E0;5,285319711E0
4,471043470E-1;1,646000028E0;-5,049999952E-1;4,897999763E0;5,191795717E0
4,495933330E-1;1,381999969E0;-7,369999886E-1;4,868999958E0;5,114709522E0
4,520822560E-1;1,235999942E0;-9,100000262E-1;4,877999783E0;5,113773341E0
4,545714870E-1;1,044999957E0;-1,080000043E0;5,156000137E0;5,370545821E0
4,570607170E-1;8,439999819E-1;-1,402999997E0;5,203999996E0;5,455489063E0
4,595498710E-1;6,179999709E-1;-1,508999944E0;5,409999847E0;5,650407343E0
4,620391020E-1;3,889999986E-1;-1,700000048E0;5,572999954E0;5,839490530E0
4,645283330E-1;2,770000100E-1;-1,860999942E0;5,793000221E0;6,090886746E0
4,670175640E-1;1,239999980E-1;-1,991999984E0;6,132999897E0;6,449583527E0
4,695064870E-1;-1,999999955E-2;-2,118999958E0;6,336999893E0;6,681925506E0
4,719954870E-1;-4,399999976E-2;-2,309000015E0;6,561999798E0;6,956526318E0
4,744846250E-1;-6,599999964E-2;-2,470999956E0;6,817999840E0;7,252262998E0
4,769735490E-1;-8,000000380E-3;-2,565000057E0;7,198999882E0;7,642309114E0
4,794624720E-1;-1,000000047E-3;-2,667999983E0;7,514999866E0;7,974550012E0
4,819513950E-1;4,899999872E-2;-2,806999922E0;7,788000107E0;8,278562389E0
4,844406250E-1;6,000000052E-3;-2,993999958E0;8,119000435E0;8,653452479E0
4,869295540E-1;-7,000000030E-2;-3,148999929E0;8,538000107E0;9,100469569E0
4,894184770E-1;-1,209999993E-1;-3,270999908E0;8,848999977E0;9,434981823E0
4,919077070E-1;-1,469999999E-1;-3,438999891E0;9,204000473E0;9,826594220E0
4,943966310E-1;-1,640000045E-1;-3,463000059E0;9,440999985E0;1,005742244E1
4,968856310E-1;-1,780000031E-1;-3,568000078E0;9,859999657E0;1,048722565E1
4,993751210E-1;-2,500000000E-1;-3,596999884E0;1,013099957E1;1,075351386E1
5,018643520E-1;-3,289999962E-1;-3,579999924E0;1,060299969E1;1,119590295E1
5,043533520E-1;-3,050000072E-1;-3,628000021E0;1,093999958E1;1,152991760E1
5,068425060E-1;-2,399999946E-1;-3,496999979E0;1,112899971E1;1,166795798E1
5,093315060E-1;-2,280000001E-1;-3,470000029E0;1,146700001E1;1,198269475E1
5,118207550E-1;-1,400000006E-1;-3,607000113E0;1,156999969E1;1,212002239E1
5,143099090E-1;-1,250000000E-1;-3,520999908E0;1,157499981E1;1,209932585E1
5,167989090E-1;-6,599999964E-2;-3,568000078E0;1,157299995E1;1,211071049E1
5,192881400E-1;-9,200000018E-2;-3,543999910E0;1,146500015E1;1,200060948E1
5,217770630E-1;-5,400000140E-2;-3,456000090E0;1,131599998E1;1,183210498E1
5,242662110E-1;-1,609999985E-1;-3,553999901E0;1,122500038E1;1,177529065E1
5,267552110E-1;-1,850000024E-1;-3,450999975E0;1,084399986E1;1,138138651E1
5,292441340E-1;-2,910000086E-1;-3,470000029E0;1,061900043E1;1,117536359E1
5,317332880E-1;-3,050000072E-1;-3,428999901E0;1,025500011E1;1,081739768E1
5,342222880E-1;-2,860000134E-1;-3,503999949E0;9,902999878E0;1,050853074E1
5,367112160E-1;-3,170000017E-1;-3,467999935E0;9,597000122E0;1,020930575E1
5,392004470E-1;-3,219999969E-1;-3,549000025E0;9,258999825E0;9,921096861E0
